common name,conservation status,kingdom,phylum,klass,order,family,genus,species,subspecies,official name,wiki filename,old filename,new filename,countries,colours,activities,endemic,wiki
Green sandpiper,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa ochropus,,Tringa ochropus,tringa_ochropus.html,//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Green_Sandpiper_%28Tringa_ochropus%29-_In_Breeding_plumage_at_Bharatpur_I_IMG_5533.jpg/220px-Green_Sandpiper_%28Tringa_ochropus%29-_In_Breeding_plumage_at_Bharatpur_I_IMG_5533.jpg,images/tringa_ochropus,cameroon|western sahara,,,false,Green_Sandpiper
Common greenshank,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa nebularia,,Tringa nebularia,tringa_nebularia.html,//upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Common-Greenshank.jpg/220px-Common-Greenshank.jpg,images/tringa_nebularia,cameroon|western sahara,,,false,Greenshank
Grey-backed thrush,Least Concern,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus hortulorum,,Turdus hortulorum,turdus_hortulorum.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/98/Closer_Look.jpg/220px-Closer_Look.jpg,images/turdus_hortulorum,japan,,,false,Grey-backed_Thrush
Grey-faced buzzard,Least Concern,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Butastur,Butastur indicus,,Butastur indicus,butastur_indicus.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Butastur_indicus.jpg/220px-Butastur_indicus.jpg,images/butastur_indicus,guinea|madagascar|japan,,,false,Grey-faced_Buzzard
Chestnut-eared bunting,Least Concern,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,Emberiza fucata,,Emberiza fucata,emberiza_fucata.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Emberiza_fucata.jpg/220px-Emberiza_fucata.jpg,images/emberiza_fucata,japan,,,false,Grey-headed_Bunting
Grey-headed lapwing,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus cinereus,,Vanellus cinereus,vanellus_cinereus.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Vanellus_cinereus.JPG/220px-Vanellus_cinereus.JPG,images/vanellus_cinereus,japan,,,false,Grey-headed_Lapwing
Grey-headed woodpecker,Least Concern,Animalia,Chordata,Aves,Piciformes,Picidae,Picus,Picus canus,,Picus canus,picus_canus.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/10/Picus_canus_2.jpg/240px-Picus_canus_2.jpg,images/picus_canus,,,,false,Grey-headed_Woodpecker
Grey-tailed tattler,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa brevipes,,Tringa brevipes,tringa_brevipes.html,//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Tringa_brevipes2.jpg/220px-Tringa_brevipes2.jpg,images/tringa_brevipes,,,,false,Grey-rumped_Sandpiper
Grey bush chat,Least Concern,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,Saxicola ferreus,,Saxicola ferreus,saxicola_ferreus.html,//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Grey_Bushchat_%28male%29_I_IMG_6728.jpg/220px-Grey_Bushchat_%28male%29_I_IMG_6728.jpg,images/saxicola_ferreus,japan,,,false,Grey_Bushchat
Grey heron,Least Concern,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea cinerea,,Ardea cinerea,ardea_cinerea.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/39/Ardea_cinerea_-_Pak_Thale.jpg/220px-Ardea_cinerea_-_Pak_Thale.jpg,images/ardea_cinerea,cameroon|western sahara|mauritania|madagascar|japan,,,false,Grey_Heron
Red phalarope,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,Phalaropus fulicarius,,Phalaropus fulicarius,phalaropus_fulicarius.html,//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Phalaropus_fulicarius_10.jpg/220px-Phalaropus_fulicarius_10.jpg,images/phalaropus_fulicarius,cameroon|sierra leone,,,false,Grey_Phalarope
Grey plover,Least Concern,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis squatarola,,Pluvialis squatarola,pluvialis_squatarola.html,//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Pluvialis_squatarola_%28summer_plumage%29.jpg/220px-Pluvialis_squatarola_%28summer_plumage%29.jpg,images/pluvialis_squatarola,cameroon|south africa|western sahara|japan,,,false,Grey_Plover
Grey red-backed vole,Least Concern,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,Myodes rufocanus,,Myodes rufocanus,myodes_rufocanus.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Myodes_rufocanus.jpeg/220px-Myodes_rufocanus.jpeg,images/myodes_rufocanus,japan,,,false,Grey_Red-Backed_Vole
White-cheeked starling,Least Concern,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus cineraceus,,Sturnus cineraceus,sturnus_cineraceus.html,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Mukudori_05z4384cs.jpg/240px-Mukudori_05z4384cs.jpg,images/sturnus_cineraceus,japan,,,false,Grey_Starling
Grey wagtail,Least Concern,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla cinerea,,Motacilla cinerea,motacilla_cinerea.html,//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Grey_Wagtail.jpg/220px-Grey_Wagtail.jpg,images/motacilla_cinerea,kenya|japan,,,false,Grey_Wagtail
Greylag goose,Least Concern,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,Anser anser,,Anser anser,anser_anser.html,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Greylag_goose_swimming_%28anser_anser%29.jpg/220px-Greylag_goose_swimming_%28anser_anser%29.jpg,images/anser_anser,,,,false,Greylag_Goose
Crane (bird),,Animalia,Chordata,Aves,Gruiformes,Gruidae,,,,,.html,//upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Sarus_Crane_%28Grus_antigone%29_at_Sultanpur_I_Picture_151.jpg/300px-Sarus_Crane_%28Grus_antigone%29_at_Sultanpur_I_Picture_151.jpg,images/,tanzania|japan,,diurnal,false,Gruidae
